Triangle Name: 1, LED Numbers: [1, 2], Centre: [50.79847176608251, -13.119221632576398]
Triangle Name: 42, LED Numbers: [83, 84], Centre: [50.65354422985063, -13.093561632576398]
Triangle Name: 43, LED Numbers: [85, 86], Centre: [50.624558722604256, -13.119221632576398]
Triangle Name: 44, LED Numbers: [87, 88], Centre: [50.624558722604256, -13.170541632576397]
Triangle Name: 45, LED Numbers: [89, 90], Centre: [50.65354422985063, -13.196201632576399]
Triangle Name: 46, LED Numbers: [91, 92], Centre: [50.65354422985063, -13.2475216325764]
Triangle Name: 47, LED Numbers: [93, 94], Centre: [50.682529737097006, -13.273181632576398]
Triangle Name: 48, LED Numbers: [95, 96], Centre: [50.682529737097006, -13.3245016325764]
Triangle Name: 49, LED Numbers: [97, 98], Centre: [50.71151524434338, -13.350161632576402]
Triangle Name: 50, LED Numbers: [99, 100], Centre: [50.74050075158976, -13.3245016325764]
Triangle Name: 51, LED Numbers: [101, 102], Centre: [50.76948625883613, -13.350161632576402]
Triangle Name: 52, LED Numbers: [103, 104], Centre: [50.79847176608251, -13.3245016325764]
Triangle Name: 53, LED Numbers: [105, 106], Centre: [50.82745727332888, -13.350161632576402]
Triangle Name: 54, LED Numbers: [107, 108], Centre: [50.85644278057526, -13.3245016325764]
Triangle Name: 55, LED Numbers: [109, 110], Centre: [50.97238480956076, -13.119221632576398]
Triangle Name: 56, LED Numbers: [111, 112], Centre: [50.94339930231438, -13.093561632576396]
Triangle Name: 57, LED Numbers: [113, 114], Centre: [50.94339930231438, -13.196201632576399]
Triangle Name: 58, LED Numbers: [115, 116], Centre: [50.97238480956076, -13.1705416325764]
Triangle Name: 59, LED Numbers: [117, 118], Centre: [50.94339930231438, -13.042241632576397]
Triangle Name: 60, LED Numbers: [119, 120], Centre: [50.91441379506801, -13.016581632576397]
Triangle Name: 61, LED Numbers: [121, 122], Centre: [50.91441379506801, -13.273181632576398]
Triangle Name: 62, LED Numbers: [123, 124], Centre: [50.94339930231438, -13.2475216325764]
Triangle Name: 63, LED Numbers: [125, 126], Centre: [50.91441379506801, -12.965261632576395]
Triangle Name: 64, LED Numbers: [127, 128], Centre: [50.88542828782163, -12.939601632576396]
Triangle Name: 65, LED Numbers: [129, 130], Centre: [50.88542828782163, -13.350161632576402]
Triangle Name: 66, LED Numbers: [131, 132], Centre: [50.91441379506801, -13.3245016325764]
Triangle Name: 67, LED Numbers: [133, 134], Centre: [50.88542828782163, -12.888281632576396]
Triangle Name: 68, LED Numbers: [135, 136], Centre: [50.85644278057526, -12.862621632576397]
Triangle Name: 69, LED Numbers: [137, 138], Centre: [50.82745727332888, -12.888281632576396]
Triangle Name: 70, LED Numbers: [139, 140], Centre: [50.79847176608251, -12.862621632576397]
Triangle Name: 71, LED Numbers: [141, 142], Centre: [50.76948625883613, -12.888281632576396]
Triangle Name: 72, LED Numbers: [143, 144], Centre: [50.74050075158976, -12.862621632576397]
Triangle Name: 73, LED Numbers: [145, 146], Centre: [50.71151524434338, -12.888281632576396]
Triangle Name: 74, LED Numbers: [147, 148], Centre: [50.682529737097006, -12.862621632576397]
Triangle Name: 75, LED Numbers: [149, 150], Centre: [50.65354422985063, -12.888281632576396]
Triangle Name: 76, LED Numbers: [151, 152], Centre: [50.65354422985063, -12.939601632576396]
Triangle Name: 77, LED Numbers: [153, 154], Centre: [50.624558722604256, -12.965261632576395]
Triangle Name: 78, LED Numbers: [155, 156], Centre: [50.624558722604256, -13.016581632576397]
Triangle Name: 79, LED Numbers: [157, 158], Centre: [50.59557321535788, -13.042241632576397]
Triangle Name: 80, LED Numbers: [159, 160], Centre: [50.59557321535788, -13.093561632576398]
Triangle Name: 81, LED Numbers: [161, 162], Centre: [50.566587708111506, -13.119221632576398]
Triangle Name: 82, LED Numbers: [163, 164], Centre: [50.566587708111506, -13.170541632576397]
Triangle Name: 83, LED Numbers: [165, 166], Centre: [50.59557321535788, -13.196201632576399]
Triangle Name: 84, LED Numbers: [167, 168], Centre: [50.59557321535788, -13.2475216325764]
Triangle Name: 85, LED Numbers: [169, 170], Centre: [50.624558722604256, -13.273181632576398]
Triangle Name: 86, LED Numbers: [171, 172], Centre: [50.624558722604256, -13.3245016325764]
Triangle Name: 87, LED Numbers: [173, 174], Centre: [50.65354422985063, -13.350161632576402]
Triangle Name: 88, LED Numbers: [175, 176], Centre: [50.65354422985063, -13.4014816325764]
Triangle Name: 89, LED Numbers: [177, 178], Centre: [50.682529737097006, -13.4271416325764]
Triangle Name: 90, LED Numbers: [179, 180], Centre: [50.71151524434338, -13.4014816325764]
Triangle Name: 91, LED Numbers: [181, 182], Centre: [50.74050075158976, -13.4271416325764]
Triangle Name: 92, LED Numbers: [183, 184], Centre: [50.76948625883613, -13.4014816325764]
Triangle Name: 93, LED Numbers: [185, 186], Centre: [50.79847176608251, -13.4271416325764]
Triangle Name: 94, LED Numbers: [187, 188], Centre: [50.82745727332888, -13.4014816325764]
Triangle Name: 95, LED Numbers: [189, 190], Centre: [50.85644278057526, -13.4271416325764]
Triangle Name: 96, LED Numbers: [191, 192], Centre: [50.88542828782163, -13.4014816325764]
Triangle Name: 97, LED Numbers: [193, 194], Centre: [51.03035582405351, -13.119221632576398]
Triangle Name: 98, LED Numbers: [195, 196], Centre: [51.00137031680713, -13.093561632576396]
Triangle Name: 99, LED Numbers: [197, 198], Centre: [51.00137031680713, -13.196201632576399]
Triangle Name: 100, LED Numbers: [199, 200], Centre: [51.03035582405351, -13.1705416325764]
Triangle Name: 101, LED Numbers: [201, 202], Centre: [51.00137031680713, -13.042241632576397]
Triangle Name: 102, LED Numbers: [203, 204], Centre: [50.97238480956076, -13.016581632576397]
Triangle Name: 103, LED Numbers: [205, 206], Centre: [50.97238480956076, -13.273181632576398]
Triangle Name: 104, LED Numbers: [207, 208], Centre: [51.00137031680713, -13.2475216325764]
Triangle Name: 105, LED Numbers: [209, 210], Centre: [50.97238480956076, -12.965261632576395]
Triangle Name: 106, LED Numbers: [211, 212], Centre: [50.94339930231438, -12.939601632576396]
Triangle Name: 107, LED Numbers: [213, 214], Centre: [50.94339930231438, -13.350161632576402]
Triangle Name: 108, LED Numbers: [215, 216], Centre: [50.97238480956076, -13.3245016325764]
Triangle Name: 109, LED Numbers: [217, 218], Centre: [50.94339930231438, -12.888281632576396]
Triangle Name: 110, LED Numbers: [219, 220], Centre: [50.91441379506801, -12.862621632576397]
Triangle Name: 111, LED Numbers: [221, 222], Centre: [50.91441379506801, -13.4271416325764]
Triangle Name: 112, LED Numbers: [223, 224], Centre: [50.94339930231438, -13.4014816325764]
Triangle Name: 113, LED Numbers: [225, 226], Centre: [50.91441379506801, -12.811301632576395]
Triangle Name: 114, LED Numbers: [227, 228], Centre: [50.88542828782163, -12.785641632576395]
Triangle Name: 115, LED Numbers: [229, 230], Centre: [50.85644278057526, -12.811301632576395]
Triangle Name: 116, LED Numbers: [231, 232], Centre: [50.82745727332888, -12.785641632576395]
Triangle Name: 117, LED Numbers: [233, 234], Centre: [50.79847176608251, -12.811301632576395]
Triangle Name: 118, LED Numbers: [235, 236], Centre: [50.76948625883613, -12.785641632576395]
Triangle Name: 119, LED Numbers: [237, 238], Centre: [50.74050075158976, -12.811301632576395]
Triangle Name: 120, LED Numbers: [239, 240], Centre: [50.71151524434338, -12.785641632576395]
Triangle Name: 121, LED Numbers: [241, 242], Centre: [50.682529737097006, -12.811301632576395]
Triangle Name: 122, LED Numbers: [243, 244], Centre: [50.65354422985063, -12.785641632576395]
Triangle Name: 123, LED Numbers: [245, 246], Centre: [50.624558722604256, -12.811301632576395]
Triangle Name: 124, LED Numbers: [247, 248], Centre: [50.624558722604256, -12.862621632576397]
Triangle Name: 125, LED Numbers: [249, 250], Centre: [50.59557321535788, -12.888281632576396]
Triangle Name: 126, LED Numbers: [251, 252], Centre: [50.59557321535788, -12.939601632576396]
Triangle Name: 127, LED Numbers: [253, 254], Centre: [50.566587708111506, -12.965261632576395]
Triangle Name: 128, LED Numbers: [255, 256], Centre: [50.566587708111506, -13.016581632576397]
Triangle Name: 129, LED Numbers: [257, 258], Centre: [50.53760220086513, -13.042241632576397]
Triangle Name: 130, LED Numbers: [259, 260], Centre: [50.53760220086513, -13.093561632576398]
Triangle Name: 131, LED Numbers: [261, 262], Centre: [50.508616693618755, -13.119221632576398]
Triangle Name: 132, LED Numbers: [263, 264], Centre: [50.508616693618755, -13.170541632576397]
Triangle Name: 133, LED Numbers: [265, 266], Centre: [50.53760220086513, -13.196201632576399]
Triangle Name: 134, LED Numbers: [267, 268], Centre: [50.53760220086513, -13.2475216325764]
Triangle Name: 135, LED Numbers: [269, 270], Centre: [50.566587708111506, -13.273181632576398]
Triangle Name: 136, LED Numbers: [271, 272], Centre: [50.566587708111506, -13.3245016325764]
Triangle Name: 137, LED Numbers: [273, 274], Centre: [50.59557321535788, -13.350161632576402]
Triangle Name: 138, LED Numbers: [275, 276], Centre: [50.59557321535788, -13.4014816325764]
Triangle Name: 139, LED Numbers: [277, 278], Centre: [50.624558722604256, -13.4271416325764]
Triangle Name: 140, LED Numbers: [279, 280], Centre: [50.624558722604256, -13.478461632576403]
Triangle Name: 141, LED Numbers: [281, 282], Centre: [50.65354422985063, -13.504121632576402]
Triangle Name: 142, LED Numbers: [283, 284], Centre: [50.682529737097006, -13.478461632576403]
Triangle Name: 143, LED Numbers: [285, 286], Centre: [50.71151524434338, -13.504121632576402]
Triangle Name: 144, LED Numbers: [287, 288], Centre: [50.74050075158976, -13.478461632576403]
Triangle Name: 145, LED Numbers: [289, 290], Centre: [50.76948625883613, -13.504121632576402]
Triangle Name: 146, LED Numbers: [291, 292], Centre: [50.79847176608251, -13.478461632576403]
Triangle Name: 147, LED Numbers: [293, 294], Centre: [50.82745727332888, -13.504121632576402]
Triangle Name: 148, LED Numbers: [295, 296], Centre: [50.85644278057526, -13.478461632576403]
Triangle Name: 149, LED Numbers: [297, 298], Centre: [50.88542828782163, -13.504121632576402]
Triangle Name: 150, LED Numbers: [299, 300], Centre: [50.91441379506801, -13.478461632576403]
